id,title,subtitle,lat,lng,teaserUrl,category,category_ger,pic_url,loc_admin1,loc_admin2,click,dest_id,dest_name,loc_name,equal to dest,ok
idsbbdc862e,Expovina – 66. Zürcher Wein-Ausstellung.,Expovina – 66. Zürcher Wein-Ausstellung.,47.366664,8.54065575,/content/internet/plc/leisure-holidays/de/veranstaltungen/expovina-66-zuercherweinausstellung.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/limmat-boote-bergpanorama.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Zurich,Bezirk Zuerich,"{'lat': 47.366664, 'lng': 8.54065575}",8530813,Zürich Kreuzplatz,Zuerich (Kreis 1),FALSE,
idsbb36a1ed,«Gladiator. Die wahre Geschichte.» im Antikenmuseum Basel.,«Gladiator. Die wahre Geschichte.» im Antikenmuseum Basel.,47.5543563,7.593141,/content/internet/plc/leisure-holidays/de/veranstaltungen/gladiator-antiken-museum-basel.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/4_3200x2400px_internet.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Basel-City,Basel-Stadt,"{'lat': 47.5543563, 'lng': 7.593141}",22,Basel,Basel,TRUE,
idsbb776928,Ausstellung «FAKE. Die ganze Wahrheit».,Ausstellung «FAKE. Die ganze Wahrheit».,47.390998,8.170175,/content/internet/plc/leisure-holidays/de/gruppen/ausstellung-fake-die-ganze-wahrheit.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/Stapferhaus-Austellung-FAKE.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Aargau,Bezirk Lenzburg,"{'lat': 47.390998, 'lng': 8.170175}",8502119,Lenzburg,Lenzburg,TRUE,
idsbb34f607,Römerlager Vindonissa.,Römerlager Vindonissa.,47.480342,8.218674,/content/internet/plc/leisure-holidays/de/tagesausflug/legionarspfad-windisch-roemerlager-vindonissa.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/LegionaerspfadWindisch.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Aargau,Bezirk Brugg,"{'lat': 47.480342, 'lng': 8.218674}",8572523,"Windisch, Kurve",Windisch,FALSE,
idsbb452374,Kultur entdecken – #letsmuseeum.,Kultur entdecken – #letsmuseeum.,47.3591427,8.5459699,/content/internet/plc/leisure-holidays/de/veranstaltungen/letsmuseeum.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/letsmuseeum.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Zurich,Bezirk Zuerich,"{'lat': 47.3591427, 'lng': 8.5459699}",8503000,Zürich HB,Zurich,FALSE,
idsbb200757,Gotthelf Zentrum Lützelflüh.,Gotthelf Zentrum Lützelflüh.,47.0087919,7.68732813,/content/internet/plc/leisure-holidays/de/tagesausflug/gotthelf-zentrum-luetzelflueh.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/das_gotthelf_zentruminluetzelflueh.JPG/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Emmental District,"{'lat': 47.0087919, 'lng': 7.68732813}",8508266,Lützelflüh-Goldbach,Lutzelfluh,FALSE,
idsbb882234,Saline Schweizerhalle.,Saline Schweizerhalle.,47.5312071,7.6760451,/content/internet/plc/leisure-holidays/de/tagesausflug/saline-schweizerhalle.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/Saline-Schweizerhalle.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Baden-Wuerttemberg,Freiburg Region,"{'lat': 47.5312071, 'lng': 7.6760451}",1100255,"Grenzach (D), Erlenweg",Grenzach-Wyhlen,FALSE,
idsbb78ff35,«Johannes Itten. Kunst als Leben. Bauhausutopien und Dokumente der Wirklichkeit» im Kunstmuseum Bern.,«Johannes Itten. Kunst als Leben. Bauhausutopien und Dokumente der Wirklichkeit» im Kunstmuseum Bern.,46.9512267,7.441004,/content/internet/plc/leisure-holidays/de/tagesausflug/johannes.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/johannes.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Bern-Mittelland District,"{'lat': 46.9512267, 'lng': 7.441004}",8507000,Bern,Bern,TRUE,
idsbb7be89c,Greifvogelpark Buchs SG.,Greifvogelpark Buchs SG.,47.1701254,9.3801702,/content/internet/plc/leisure-holidays/de/tagesausflug/rex-greifvogelpark-buchs-sg.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/rv/RZ_Web_3200x2400px_300dpi_06_Greifvogelpark_BuchsSG_170309.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Saint Gallen,Wahlkreis Toggenburg,"{'lat': 47.1701254, 'lng': 9.3801702}",8506780,"Wildhaus, Dorf",Wildhaus,FALSE,
idsbbe9f28d,Mailand – Im Zeichen Leonardo da Vincis.,Mailand – Im Zeichen Leonardo da Vincis.,45.4654219,9.1859243,/content/internet/plc/leisure-holidays/de/staedtereisen/leonardo.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/Leonardo-Abendmahl.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Lombardy,Citta metropolitana di Milano,"{'lat': 45.4654219, 'lng': 9.1859243}",8301700,Milano Centrale,Milano,FALSE,
