id,title,subtitle,lat,lng,teaserUrl,category,category_ger,pic_url,loc_name,loc_admin1,loc_admin2,click
idsbbbb4146,Mineralbad & Spa Samedan.,Mineralbad & Spa Samedan.,46.5337765,9.870485,/content/internet/plc/leisure-holidays/de/tagesausflug/mineralbad-spa-samedan.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Mineralbad-Spa-Samedan_Key-Visual.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Samedan,Grisons,Maloja District,"{'lat': 46.5337765, 'lng': 9.870485}"
idsbb16182f,Lauenensee – die Ruhe der Natur.,Lauenensee – die Ruhe der Natur.,46.39489008,7.33356178,/content/internet/plc/leisure-holidays/de/tagesausflug/lauenensee-die-ruhe-der-natur.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Lauenensee.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Gstaad,Bern,Obersimmental-Saanen District,"{'lat': 46.39489008, 'lng': 7.33356178}"
idsbb184db5,Barfuss durchs Moor.,Barfuss durchs Moor.,47.320364399999995,9.3272799,/content/internet/plc/leisure-holidays/de/tagesausflug/barfuss-durchs-moor.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Barfuss_durchs_Moor_Key-Visual.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Gonten,Appenzell Innerrhoden,Appenzell Inner Rhodes,"{'lat': 47.3203644, 'lng': 9.3272799}"
idsbbe308eb,Energie tanken auf 10 Kraftwegen.,Energie tanken auf 10 Kraftwegen.,46.99805103,6.8939209,/content/internet/plc/leisure-holidays/de/tagesausflug/energie-tanken-auf-10-kraftwegen.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Energie-tanken-auf-10-Kraftwegen.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Peseux,Neuchatel,Boudry District,"{'lat': 46.99805103, 'lng': 6.8939209}"
idsbb1632e3,Benediktinerkloster Disentis.,Benediktinerkloster Disentis.,46.7067895,8.85612845,/content/internet/plc/leisure-holidays/de/tagesausflug/benediktinerkloster-disentis.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st_martin_aussen.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Disentis,Grisons,Surselva District,"{'lat': 46.7067895, 'lng': 8.85612845}"
idsbbbc97c8,Solbad & Spa Schönbühl.,Solbad & Spa Schönbühl.,47.0220684,7.4962734,/content/internet/plc/leisure-holidays/de/tagesausflug/solbad-spa-schoenbuehl.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Solbad_Spa_Schoenbuehl.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Urtenen,Bern,Bern-Mittelland District,"{'lat': 47.0220684, 'lng': 7.4962734}"
idsbb26e422,Gesundheitsweg Heiden.,Gesundheitsweg Heiden.,47.4421715,9.532089,/content/internet/plc/leisure-holidays/de/tagesausflug/gesundheitsweg-heiden.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0052733.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Heiden,Appenzell Ausserrhoden,Bezirk Vorderland,"{'lat': 47.4421715, 'lng': 9.532089}"
idsbb45f0f7,Wellness-Welt sole uno Rheinfelden.,Wellness-Welt sole uno Rheinfelden.,47.55219,7.7922914,/content/internet/plc/leisure-holidays/de/tagesausflug/sole-uno-rheinfelden/sole-uno-rheinfelden-sommer.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/sharedimages/ff/sommerwelle18/ruhe-entspannung/Wellness-welt_sole_uno_Rheinfelden.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Rheinfelden,Aargau,Bezirk Rheinfelden,"{'lat': 47.55219, 'lng': 7.7922914}"
idsbbcdae10,Naturkneippweg Blitzingen.,Naturkneippweg Blitzingen.,46.4437481,8.2023646,/content/internet/plc/leisure-holidays/de/tagesausflug/naturkneippweg-blitzingen.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0053058.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Fiesch,Valais,Goms District,"{'lat': 46.4437481, 'lng': 8.2023646}"
idsbb5b6f39,Kloster Fahr.,Kloster Fahr.,47.40810925,8.43874363,/content/internet/plc/leisure-holidays/de/tagesausflug/kloster-fahr.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/KlosterFahr.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Schlieren / Engstingerquartier,Zurich,Bezirk Dietikon,"{'lat': 47.40810925, 'lng': 8.43874363}"
idsbb6e6839,Mont Vully.,Mont Vully.,46.9640126,7.0939421,/content/internet/plc/leisure-holidays/de/tagesausflug/mont-vully.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/MontVully.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bas-Vully,Fribourg,See District,"{'lat': 46.9640126, 'lng': 7.0939421}"
idsbb8b0661,Kloster Fischingen.,Kloster Fischingen.,47.41232485,8.96815773,/content/internet/plc/leisure-holidays/de/tagesausflug/kloster-fischingen.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Kloster-Fischingen.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Fischingen,Thurgau,Muenchwilen District,"{'lat': 47.41232485, 'lng': 8.96815773}"
idsbb603753,Mineralbad Bogn Engiadina Scuol.,Mineralbad Bogn Engiadina Scuol.,46.799179,10.2974457,/content/internet/plc/leisure-holidays/de/tagesausflug/les-bains-bogn-engiadina-scuol/les-bains-bogn-engiadina-scuol-sommer.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/ThermalbadBognEngiadinaScuol_ver.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Scuol,Grisons,Inn District,"{'lat': 46.799179, 'lng': 10.2974457}"
idsbbc12c7b,Ägeribad Oberägeri.,Ägeribad Oberägeri.,47.1339058,8.6112634,/content/internet/plc/leisure-holidays/de/tagesausflug/aegeribad-oberaegeri.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/raaq6318.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Unterageri,Zug,Zug,"{'lat': 47.1339058, 'lng': 8.6112634}"
idsbba0536a,Wellness & Hamam im aquabasilea.,Wellness & Hamam im aquabasilea.,47.5242339,7.6811895,/content/internet/plc/leisure-holidays/de/tagesausflug/wellness-hamam-im-aquabasilea.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/hamam_neu.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Pratteln,Basel-Landschaft,Bezirk Liestal,"{'lat': 47.5242339, 'lng': 7.6811895}"
idsbb58f79d,Tamina Therme Bad Ragaz.,Tamina Therme Bad Ragaz.,46.9993486,9.5043291,/content/internet/plc/leisure-holidays/de/tagesausflug/tamina-therme-bad-ragaz.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Tamina-Therme-Bad-Ragaz-Key-Visual.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bad Ragaz,Saint Gallen,Wahlkreis Sarganserland,"{'lat': 46.9993486, 'lng': 9.5043291}"
idsbb86dd28,Abbaye de la Fille-Dieu.,Abbaye de la Fille-Dieu.,46.7010742,6.92735747,/content/internet/plc/leisure-holidays/de/tagesausflug/abbaye-de-la-fille-dieu.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0049538.JPG/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Romont,Fribourg,Glane District,"{'lat': 46.7010742, 'lng': 6.92735747}"
idsbb2c09fb,Kraftorte im Verzascatal.,Kraftorte im Verzascatal.,46.3810661,8.7867236,/content/internet/plc/leisure-holidays/de/tagesausflug/kraftorte-im-verzascatal.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/sharedimages/ff/Valle-Verzasca.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Faido,Ticino,Leventina District,"{'lat': 46.3810661, 'lng': 8.7867236}"
